1770817878.184986 server started (33611): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1770817878.185000 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1770817878.185005 using libevent 2.1.12-stable poll
1770817878.185010 using utf8proc 2.11.2
1770817878.185011 using ncurses 6.5 20240427
1770817878.185120 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1770817878.185122 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1770817878.185123 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1770817878.185125 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1770817878.185126 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1770817878.185128 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1770817878.185129 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1770817878.185131 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1770817878.185132 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1770817878.185134 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1770817878.185135 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1770817878.185137 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1770817878.185138 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1770817878.185140 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1770817878.185141 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1770817878.185143 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1770817878.185144 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1770817878.185151 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1770817878.185153 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1770817878.185154 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1770817878.185156 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1770817878.185157 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1770817878.185159 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1770817878.185160 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1770817878.185162 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1770817878.185163 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1770817878.185165 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1770817878.185166 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1770817878.185174 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1770817878.185176 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1770817878.185177 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1770817878.185179 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1770817878.185180 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1770817878.185182 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
1770817878.185184 input_key_build: 0x40000010e267 (S-IC) is \033[2;2~
1770817878.185185 input_key_build: 0x40000010e268 (S-DC) is \033[3;2~
1770817878.185187 input_key_build: 0x40000010e269 (S-Home) is \033[1;2H
1770817878.185188 input_key_build: 0x40000010e26a (S-End) is \033[1;2F
1770817878.185190 input_key_build: 0x40000010e26b (S-NPage) is \033[6;2~
1770817878.185191 input_key_build: 0x40000010e26c (S-PPage) is \033[5;2~
1770817878.185193 input_key_build: 0x40000010e26e (S-Up) is \033[1;2A
1770817878.185194 input_key_build: 0x40000010e26f (S-Down) is \033[1;2B
1770817878.185196 input_key_build: 0x40000010e270 (S-Left) is \033[1;2D
1770817878.185197 input_key_build: 0x40000010e271 (S-Right) is \033[1;2C
1770817878.185199 input_key_build: 0x60000010e25b (C-S-F1) is \033[1;6P
1770817878.185201 input_key_build: 0x60000010e25c (C-S-F2) is \033[1;6Q
1770817878.185202 input_key_build: 0x60000010e25d (C-S-F3) is \033[1;6R
1770817878.185204 input_key_build: 0x60000010e25e (C-S-F4) is \033[1;6S
1770817878.185205 input_key_build: 0x60000010e25f (C-S-F5) is \033[15;6~
1770817878.185207 input_key_build: 0x60000010e260 (C-S-F6) is \033[17;6~
1770817878.185208 input_key_build: 0x60000010e261 (C-S-F7) is \033[18;6~
1770817878.185210 input_key_build: 0x60000010e262 (C-S-F8) is \033[19;6~
1770817878.185211 input_key_build: 0x60000010e263 (C-S-F9) is \033[20;6~
1770817878.185213 input_key_build: 0x60000010e264 (C-S-F10) is \033[21;6~
1770817878.185215 input_key_build: 0x60000010e265 (C-S-F11) is \033[23;6~
1770817878.185216 input_key_build: 0x60000010e266 (C-S-F12) is \033[24;6~
1770817878.185218 input_key_build: 0x60000010e267 (C-S-IC) is \033[2;6~
1770817878.185219 input_key_build: 0x60000010e268 (C-S-DC) is \033[3;6~
1770817878.185221 input_key_build: 0x60000010e269 (C-S-Home) is \033[1;6H
1770817878.185222 input_key_build: 0x60000010e26a (C-S-End) is \033[1;6F
1770817878.185224 input_key_build: 0x60000010e26b (C-S-NPage) is \033[6;6~
1770817878.185226 input_key_build: 0x60000010e26c (C-S-PPage) is \033[5;6~
1770817878.185227 input_key_build: 0x60000010e26e (C-S-Up) is \033[1;6A
1770817878.185229 input_key_build: 0x60000010e26f (C-S-Down) is \033[1;6B
1770817878.185230 input_key_build: 0x60000010e270 (C-S-Left) is \033[1;6D
1770817878.185232 input_key_build: 0x60000010e271 (C-S-Right) is \033[1;6C
1770817878.185234 input_key_build: 0x200000010e272 (KP/[K]) is \033Oo
1770817878.185236 input_key_build: 0x200000010e273 (KP*[K]) is \033Oj
1770817878.185238 input_key_build: 0x200000010e274 (KP-[K]) is \033Om
1770817878.185239 input_key_build: 0x200000010e275 (KP7[K]) is \033Ow
1770817878.185241 input_key_build: 0x200000010e276 (KP8[K]) is \033Ox
1770817878.185243 input_key_build: 0x200000010e277 (KP9[K]) is \033Oy
1770817878.185244 input_key_build: 0x200000010e278 (KP+[K]) is \033Ok
1770817878.185246 input_key_build: 0x200000010e279 (KP4[K]) is \033Ot
1770817878.185251 input_key_build: 0x200000010e27a (KP5[K]) is \033Ou
1770817878.185253 input_key_build: 0x200000010e27b (KP6[K]) is \033Ov
1770817878.185254 input_key_build: 0x200000010e27c (KP1[K]) is \033Oq
1770817878.185256 input_key_build: 0x200000010e27d (KP2[K]) is \033Or
1770817878.185257 input_key_build: 0x200000010e27e (KP3[K]) is \033Os
1770817878.185259 input_key_build: 0x200000010e27f (KPEnter[K]) is \033OM
1770817878.185260 input_key_build: 0x200000010e280 (KP0[K]) is \033Op
1770817878.185262 input_key_build: 0x200000010e281 (KP.[K]) is \033On
1770817878.185264 input_key_build: 0x400000010e26e (Up[C]) is \033OA
1770817878.185265 input_key_build: 0x400000010e26f (Down[C]) is \033OB
1770817878.185267 input_key_build: 0x400000010e270 (Left[C]) is \033OD
1770817878.185268 input_key_build: 0x400000010e271 (Right[C]) is \033OC
1770817878.185270 input_key_build: 0x800000010e003 (PasteStart[I]) is \033[200~
1770817878.185272 input_key_build: 0x800000010e004 (PasteEnd[I]) is \033[201~
1770817878.185273 input_key_build: 0x810000010e25b (M-F1[I]) is \033[1;3P
1770817878.185275 input_key_build: 0x810000010e25c (M-F2[I]) is \033[1;3Q
1770817878.185276 input_key_build: 0x810000010e25d (M-F3[I]) is \033[1;3R
1770817878.185278 input_key_build: 0x810000010e25e (M-F4[I]) is \033[1;3S
1770817878.185280 input_key_build: 0x810000010e25f (M-F5[I]) is \033[15;3~
1770817878.185281 input_key_build: 0x810000010e260 (M-F6[I]) is \033[17;3~
1770817878.185283 input_key_build: 0x810000010e261 (M-F7[I]) is \033[18;3~
1770817878.185284 input_key_build: 0x810000010e262 (M-F8[I]) is \033[19;3~
1770817878.185286 input_key_build: 0x810000010e263 (M-F9[I]) is \033[20;3~
1770817878.185287 input_key_build: 0x810000010e264 (M-F10[I]) is \033[21;3~
1770817878.185289 input_key_build: 0x810000010e265 (M-F11[I]) is \033[23;3~
1770817878.185290 input_key_build: 0x810000010e266 (M-F12[I]) is \033[24;3~
1770817878.185292 input_key_build: 0x810000010e267 (M-IC[I]) is \033[2;3~
1770817878.185294 input_key_build: 0x810000010e268 (M-DC[I]) is \033[3;3~
1770817878.185295 input_key_build: 0x810000010e269 (M-Home[I]) is \033[1;3H
1770817878.185297 input_key_build: 0x810000010e26a (M-End[I]) is \033[1;3F
1770817878.185299 input_key_build: 0x810000010e26b (M-NPage[I]) is \033[6;3~
1770817878.185300 input_key_build: 0x810000010e26c (M-PPage[I]) is \033[5;3~
1770817878.185302 input_key_build: 0x810000010e26e (M-Up[I]) is \033[1;3A
1770817878.185304 input_key_build: 0x810000010e26f (M-Down[I]) is \033[1;3B
1770817878.185305 input_key_build: 0x810000010e270 (M-Left[I]) is \033[1;3D
1770817878.185307 input_key_build: 0x810000010e271 (M-Right[I]) is \033[1;3C
1770817878.185309 input_key_build: 0x830000010e25b (C-M-F1[I]) is \033[1;7P
1770817878.185310 input_key_build: 0x830000010e25c (C-M-F2[I]) is \033[1;7Q
1770817878.185312 input_key_build: 0x830000010e25d (C-M-F3[I]) is \033[1;7R
1770817878.185313 input_key_build: 0x830000010e25e (C-M-F4[I]) is \033[1;7S
1770817878.185315 input_key_build: 0x830000010e25f (C-M-F5[I]) is \033[15;7~
1770817878.185317 input_key_build: 0x830000010e260 (C-M-F6[I]) is \033[17;7~
1770817878.185318 input_key_build: 0x830000010e261 (C-M-F7[I]) is \033[18;7~
1770817878.185320 input_key_build: 0x830000010e262 (C-M-F8[I]) is \033[19;7~
1770817878.185321 input_key_build: 0x830000010e263 (C-M-F9[I]) is \033[20;7~
1770817878.185323 input_key_build: 0x830000010e264 (C-M-F10[I]) is \033[21;7~
1770817878.185325 input_key_build: 0x830000010e265 (C-M-F11[I]) is \033[23;7~
1770817878.185326 input_key_build: 0x830000010e266 (C-M-F12[I]) is \033[24;7~
1770817878.185328 input_key_build: 0x830000010e267 (C-M-IC[I]) is \033[2;7~
1770817878.185329 input_key_build: 0x830000010e268 (C-M-DC[I]) is \033[3;7~
1770817878.185331 input_key_build: 0x830000010e269 (C-M-Home[I]) is \033[1;7H
1770817878.185333 input_key_build: 0x830000010e26a (C-M-End[I]) is \033[1;7F
1770817878.185334 input_key_build: 0x830000010e26b (C-M-NPage[I]) is \033[6;7~
1770817878.185336 input_key_build: 0x830000010e26c (C-M-PPage[I]) is \033[5;7~
1770817878.185337 input_key_build: 0x830000010e26e (C-M-Up[I]) is \033[1;7A
1770817878.185342 input_key_build: 0x830000010e26f (C-M-Down[I]) is \033[1;7B
1770817878.185344 input_key_build: 0x830000010e270 (C-M-Left[I]) is \033[1;7D
1770817878.185346 input_key_build: 0x830000010e271 (C-M-Right[I]) is \033[1;7C
1770817878.185347 input_key_build: 0x850000010e25b (M-S-F1[I]) is \033[1;4P
1770817878.185349 input_key_build: 0x850000010e25c (M-S-F2[I]) is \033[1;4Q
1770817878.185351 input_key_build: 0x850000010e25d (M-S-F3[I]) is \033[1;4R
1770817878.185352 input_key_build: 0x850000010e25e (M-S-F4[I]) is \033[1;4S
1770817878.185354 input_key_build: 0x850000010e25f (M-S-F5[I]) is \033[15;4~
1770817878.185355 input_key_build: 0x850000010e260 (M-S-F6[I]) is \033[17;4~
1770817878.185357 input_key_build: 0x850000010e261 (M-S-F7[I]) is \033[18;4~
1770817878.185359 input_key_build: 0x850000010e262 (M-S-F8[I]) is \033[19;4~
1770817878.185360 input_key_build: 0x850000010e263 (M-S-F9[I]) is \033[20;4~
1770817878.185362 input_key_build: 0x850000010e264 (M-S-F10[I]) is \033[21;4~
1770817878.185363 input_key_build: 0x850000010e265 (M-S-F11[I]) is \033[23;4~
1770817878.185365 input_key_build: 0x850000010e266 (M-S-F12[I]) is \033[24;4~
1770817878.185366 input_key_build: 0x850000010e267 (M-S-IC[I]) is \033[2;4~
1770817878.185368 input_key_build: 0x850000010e268 (M-S-DC[I]) is \033[3;4~
1770817878.185370 input_key_build: 0x850000010e269 (M-S-Home[I]) is \033[1;4H
1770817878.185371 input_key_build: 0x850000010e26a (M-S-End[I]) is \033[1;4F
1770817878.185373 input_key_build: 0x850000010e26b (M-S-NPage[I]) is \033[6;4~
1770817878.185375 input_key_build: 0x850000010e26c (M-S-PPage[I]) is \033[5;4~
1770817878.185376 input_key_build: 0x850000010e26e (M-S-Up[I]) is \033[1;4A
1770817878.185378 input_key_build: 0x850000010e26f (M-S-Down[I]) is \033[1;4B
1770817878.185379 input_key_build: 0x850000010e270 (M-S-Left[I]) is \033[1;4D
1770817878.185381 input_key_build: 0x850000010e271 (M-S-Right[I]) is \033[1;4C
1770817878.185383 input_key_build: 0x870000010e25b (C-M-S-F1[I]) is \033[1;8P
1770817878.185384 input_key_build: 0x870000010e25c (C-M-S-F2[I]) is \033[1;8Q
1770817878.185386 input_key_build: 0x870000010e25d (C-M-S-F3[I]) is \033[1;8R
1770817878.185387 input_key_build: 0x870000010e25e (C-M-S-F4[I]) is \033[1;8S
1770817878.185389 input_key_build: 0x870000010e25f (C-M-S-F5[I]) is \033[15;8~
1770817878.185391 input_key_build: 0x870000010e260 (C-M-S-F6[I]) is \033[17;8~
1770817878.185392 input_key_build: 0x870000010e261 (C-M-S-F7[I]) is \033[18;8~
1770817878.185394 input_key_build: 0x870000010e262 (C-M-S-F8[I]) is \033[19;8~
1770817878.185396 input_key_build: 0x870000010e263 (C-M-S-F9[I]) is \033[20;8~
1770817878.185397 input_key_build: 0x870000010e264 (C-M-S-F10[I]) is \033[21;8~
1770817878.185399 input_key_build: 0x870000010e265 (C-M-S-F11[I]) is \033[23;8~
1770817878.185400 input_key_build: 0x870000010e266 (C-M-S-F12[I]) is \033[24;8~
1770817878.185402 input_key_build: 0x870000010e267 (C-M-S-IC[I]) is \033[2;8~
1770817878.185403 input_key_build: 0x870000010e268 (C-M-S-DC[I]) is \033[3;8~
1770817878.185405 input_key_build: 0x870000010e269 (C-M-S-Home[I]) is \033[1;8H
1770817878.185407 input_key_build: 0x870000010e26a (C-M-S-End[I]) is \033[1;8F
1770817878.185408 input_key_build: 0x870000010e26b (C-M-S-NPage[I]) is \033[6;8~
1770817878.185410 input_key_build: 0x870000010e26c (C-M-S-PPage[I]) is \033[5;8~
1770817878.185412 input_key_build: 0x870000010e26e (C-M-S-Up[I]) is \033[1;8A
1770817878.185413 input_key_build: 0x870000010e26f (C-M-S-Down[I]) is \033[1;8B
1770817878.185415 input_key_build: 0x870000010e270 (C-M-S-Left[I]) is \033[1;8D
1770817878.185416 input_key_build: 0x870000010e271 (C-M-S-Right[I]) is \033[1;8C
1770817878.185453 yylex_token: end at WS
1770817878.185455 yylex_token: bind
1770817878.185456 yylex_token: end at WS
1770817878.185458 yylex_token: -N
1770817878.185460 yylex_token: end at WS
1770817878.185461 yylex_token: Send the prefix key
1770817878.185463 yylex_token: end at WS
1770817878.185464 yylex_token: C-b
1770817878.185466 yylex_token: end at WS
1770817878.185471 yylex_token: send-prefix
1770817878.185473 cmd_parse_build_commands 0:0: bind
1770817878.185475 cmd_parse_build_commands 0:1: -N
1770817878.185477 cmd_parse_build_commands 0:2: Send the prefix key
1770817878.185478 cmd_parse_build_commands 0:3: C-b
1770817878.185480 cmd_parse_build_commands 0:4 0:0: send-prefix
1770817878.185483 cmd_parse_build_commands 0:0: send-prefix
1770817878.185486 args_parse: flags end at 1 of 1
1770817878.185489 cmd_parse_build_commands: send-prefix
1770817878.185490 args_parse_flags: next -N
1770817878.185505 args_parse_flag_argument: -N = Send the prefix key
1770817878.185507 args_parse_flags: next C-b
1770817878.185509 args_parse: flags end at 3 of 5
1770817878.185510 args_parse: 3 = C-b (type STRING)
1770817878.185516 args_parse: 4 = send-prefix (type COMMANDS)
1770817878.185520 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1770817878.185523 cmdq_get_command: [bind-key/0x5aafffdc7230] group 6
1770817878.185525 cmdq_append <global>: [bind-key/0x5aafffdc7230]
1770817878.185527 yylex_token: end at WS
1770817878.185528 yylex_token: bind
1770817878.185530 yylex_token: end at WS
1770817878.185531 yylex_token: -N
1770817878.185533 yylex_token: end at WS
1770817878.185535 yylex_token: Rotate through the panes
1770817878.185536 yylex_token: end at WS
1770817878.185538 yylex_token: C-o
1770817878.185539 yylex_token: end at WS
1770817878.185541 yylex_token: rotate-window
1770817878.185543 cmd_parse_build_commands 0:0: bind
1770817878.185544 cmd_parse_build_commands 0:1: -N
1770817878.185546 cmd_parse_build_commands 0:2: Rotate through the panes
1770817878.185548 cmd_parse_build_commands 0:3: C-o
1770817878.185549 cmd_parse_build_commands 0:4 0:0: rotate-window
1770817878.185551 cmd_parse_build_commands 0:0: rotate-window
1770817878.185554 args_parse: flags end at 1 of 1
1770817878.185555 cmd_parse_build_commands: rotate-window
1770817878.185557 args_parse_flags: next -N
1770817878.185559 args_parse_flag_argument: -N = Rotate through the panes
1770817878.185560 args_parse_flags: next C-o
1770817878.185562 args_parse: flags end at 3 of 5
1770817878.185563 args_parse: 3 = C-o (type STRING)
1770817878.185565 args_parse: 4 = rotate-window (type COMMANDS)
1770817878.185568 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1770817878.185570 cmdq_get_command: [bind-key/0x5aafffdc7a20] group 14
1770817878.185572 cmdq_append <global>: [bind-key/0x5aafffdc7a20]
1770817878.185574 yylex_token: end at WS
1770817878.185575 yylex_token: bind
1770817878.185577 yylex_token: end at WS
1770817878.185578 yylex_token: -N
1770817878.185580 yylex_token: end at WS
1770817878.185581 yylex_token: Suspend the current client
1770817878.185583 yylex_token: end at WS
1770817878.185584 yylex_token: C-z
1770817878.185585 yylex_token: end at WS
1770817878.185587 yylex_token: suspend-client
1770817878.185589 cmd_parse_build_commands 0:0: bind
1770817878.185590 cmd_parse_build_commands 0:1: -N
1770817878.185592 cmd_parse_build_commands 0:2: Suspend the current client
1770817878.185593 cmd_parse_build_commands 0:3: C-z
1770817878.185595 cmd_parse_build_commands 0:4 0:0: suspend-client
1770817878.185597 cmd_parse_build_commands 0:0: suspend-client
1770817878.185599 args_parse: flags end at 1 of 1
1770817878.185601 cmd_parse_build_commands: suspend-client
1770817878.185603 args_parse_flags: next -N
1770817878.185604 args_parse_flag_argument: -N = Suspend the current client
1770817878.185606 args_parse_flags: next C-z
1770817878.185607 args_parse: flags end at 3 of 5
1770817878.185609 args_parse: 3 = C-z (type STRING)
1770817878.185610 args_parse: 4 = suspend-client (type COMMANDS)
1770817878.185613 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1770817878.185618 cmdq_get_command: [bind-key/0x5aafffdc7fe0] group 22
1770817878.185619 cmdq_append <global>: [bind-key/0x5aafffdc7fe0]
1770817878.185621 yylex_token: end at WS
1770817878.185622 yylex_token: bind
1770817878.185624 yylex_token: end at WS
1770817878.185625 yylex_token: -N
1770817878.185630 yylex_token: end at WS
1770817878.185631 yylex_token: Select next layout
1770817878.185633 yylex_token: end at WS
1770817878.185634 yylex_token: Space
1770817878.185636 yylex_token: end at WS
1770817878.185637 yylex_token: next-layout
1770817878.185639 cmd_parse_build_commands 0:0: bind
1770817878.185641 cmd_parse_build_commands 0:1: -N
1770817878.185642 cmd_parse_build_commands 0:2: Select next layout
1770817878.185644 cmd_parse_build_commands 0:3: Space
1770817878.185645 cmd_parse_build_commands 0:4 0:0: next-layout
1770817878.185647 cmd_parse_build_commands 0:0: next-layout
1770817878.185649 args_parse: flags end at 1 of 1
1770817878.185651 cmd_parse_build_commands: next-layout
1770817878.185652 args_parse_flags: next -N
1770817878.185654 args_parse_flag_argument: -N = Select next layout
1770817878.185655 args_parse_flags: next Space
1770817878.185657 args_parse: flags end at 3 of 5
1770817878.185658 args_parse: 3 = Space (type STRING)
1770817878.185660 args_parse: 4 = next-layout (type COMMANDS)
1770817878.185663 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1770817878.185665 cmdq_get_command: [bind-key/0x5aafffdc86f0] group 30
1770817878.185667 cmdq_append <global>: [bind-key/0x5aafffdc86f0]
1770817878.185668 yylex_token: end at WS
1770817878.185669 yylex_token: bind
1770817878.185671 yylex_token: end at WS
1770817878.185672 yylex_token: -N
1770817878.185674 yylex_token: end at WS
1770817878.185675 yylex_token: Break pane to a new window
1770817878.185677 yylex_token: end at WS
1770817878.185678 yylex_token: !
1770817878.185680 yylex_token: end at WS
1770817878.185681 yylex_token: break-pane
1770817878.185683 cmd_parse_build_commands 0:0: bind
1770817878.185684 cmd_parse_build_commands 0:1: -N
1770817878.185686 cmd_parse_build_commands 0:2: Break pane to a new window
1770817878.185687 cmd_parse_build_commands 0:3: !
1770817878.185689 cmd_parse_build_commands 0:4 0:0: break-pane
1770817878.185691 cmd_parse_build_commands 0:0: break-pane
1770817878.185692 args_parse: flags end at 1 of 1
1770817878.185694 cmd_parse_build_commands: break-pane
1770817878.185695 args_parse_flags: next -N
1770817878.185697 args_parse_flag_argument: -N = Break pane to a new window
1770817878.185699 args_parse_flags: next !
1770817878.185700 args_parse: flags end at 3 of 5
1770817878.185701 args_parse: 3 = ! (type STRING)
1770817878.185703 args_parse: 4 = break-pane (type COMMANDS)
1770817878.185706 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1770817878.185708 cmdq_get_command: [bind-key/0x5aafffdc8c20] group 38
1770817878.185709 cmdq_append <global>: [bind-key/0x5aafffdc8c20]
1770817878.185711 yylex_token: end at WS
1770817878.185712 yylex_token: bind
1770817878.185714 yylex_token: end at WS
1770817878.185715 yylex_token: -N
1770817878.185717 yylex_token: end at WS
1770817878.185718 yylex_token: Split window vertically
1770817878.185720 yylex_token: end at WS
1770817878.185721 yylex_token: "
1770817878.185723 yylex_token: end at WS
1770817878.185724 yylex_token: split-window
1770817878.185726 cmd_parse_build_commands 0:0: bind
1770817878.185727 cmd_parse_build_commands 0:1: -N
1770817878.185729 cmd_parse_build_commands 0:2: Split window vertically
1770817878.185730 cmd_parse_build_commands 0:3: "
1770817878.185732 cmd_parse_build_commands 0:4 0:0: split-window
1770817878.185734 cmd_parse_build_commands 0:0: split-window
1770817878.185736 args_parse: flags end at 1 of 1
1770817878.185738 cmd_parse_build_commands: split-window
1770817878.185739 args_parse_flags: next -N
1770817878.185741 args_parse_flag_argument: -N = Split window vertically
1770817878.185742 args_parse_flags: next "
1770817878.185744 args_parse: flags end at 3 of 5
1770817878.185745 args_parse: 3 = " (type STRING)
1770817878.185747 args_parse: 4 = split-window (type COMMANDS)
1770817878.185752 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1770817878.185754 cmdq_get_command: [bind-key/0x5aafffdc9120] group 46
1770817878.185756 cmdq_append <global>: [bind-key/0x5aafffdc9120]
1770817878.185761 yylex_token: end at WS
1770817878.185762 yylex_token: bind
1770817878.185764 yylex_token: end at WS
1770817878.185765 yylex_token: -N
1770817878.185767 yylex_token: end at WS
1770817878.185768 yylex_token: List all paste buffers
1770817878.185770 yylex_token: end at WS
1770817878.185771 yylex_token: #
1770817878.185772 yylex_token: end at WS
1770817878.185774 yylex_token: list-buffers
1770817878.185776 cmd_parse_build_commands 0:0: bind
1770817878.185777 cmd_parse_build_commands 0:1: -N
1770817878.185779 cmd_parse_build_commands 0:2: List all paste buffers
1770817878.185780 cmd_parse_build_commands 0:3: #
1770817878.185782 cmd_parse_build_commands 0:4 0:0: list-buffers
1770817878.185784 cmd_parse_build_commands 0:0: list-buffers
1770817878.185785 args_parse: flags end at 1 of 1
1770817878.185787 cmd_parse_build_commands: list-buffers
1770817878.185789 args_parse_flags: next -N
1770817878.185790 args_parse_flag_argument: -N = List all paste buffers
1770817878.185792 args_parse_flags: next #
1770817878.185793 args_parse: flags end at 3 of 5
1770817878.185795 args_parse: 3 = # (type STRING)
1770817878.185796 args_parse: 4 = list-buffers (type COMMANDS)
1770817878.185799 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1770817878.185801 cmdq_get_command: [bind-key/0x5aafffdc9760] group 54
1770817878.185803 cmdq_append <global>: [bind-key/0x5aafffdc9760]
1770817878.185804 yylex_token: end at WS
1770817878.185806 yylex_token: bind
1770817878.185807 yylex_token: end at WS
1770817878.185808 yylex_token: -N
1770817878.185810 yylex_token: end at WS
1770817878.185812 yylex_token: Rename current session
1770817878.185824 yylex_token: end at WS
1770817878.185826 yylex_token: $
1770817878.185828 yylex_token: end at WS
1770817878.185829 yylex_token: command-prompt
1770817878.185831 yylex_token: end at WS
1770817878.185832 yylex_token: -I#S
1770817878.185833 yylex_token: end at WS
1770817878.185835 yylex_token: rename-session
1770817878.185836 yylex_token: end at WS
1770817878.185838 yylex_token: --
